CATÁLOGO ACTUALIZADO - PRECIOS JUNIO 2025
=========================================

EQUIPOS PARA CONCRETO
====================

CÓDIGO,NOMBRE PRODUCTO,PRECIO,DESCRIPCIÓN,MARCA
CONC-001,Revolvedora 1 Saco MPOWER 9 HP,"$31,714.82",Acero azul / polietileno remolcable,MPOWER
CONC-002,Revolvedora CIPSA,Consultar modelo,Diferentes capacidades disponibles,CIPSA
CONC-003,Vibrador Eléctrico 4-6 mts,"Desde $9,234.50",Motor 3.0 HP - 12000 vibraciones/min,CIPSA
CONC-004,Regla Vibratoria 8.5 mts,"$110,687.50",Motor Honda GX390,MPOWER
CONC-005,Allanadora 36" MPOWER 9 HP,"$37,823.50",4 aspas,MPOWER
CONC-005,Allanadora 46" MPOWER 15 HP,"$41,112.50",4 aspas,MPOWER
CONC-006,Bacha 500 lt HYPERMAQ,"$27,200",Descarga central tipo almeja,HYPERMAQ
CONC-006,Bacha 750 lt HYPERMAQ,"$31,960",Capacidad 573 lt,HYPERMAQ
CONC-006,Bacha 1000 lt HYPERMAQ,"$41,560",Capacidad 764 lt,HYPERMAQ

EQUIPOS PARA COMPACTACIÓN
==========================

CÓDIGO,NOMBRE PRODUCTO,PRECIO,DESCRIPCIÓN,MARCA
COMP-001,Apisonadora Motor Honda GXR120,"$49,335",Bailarina compacta,MPOWER
COMP-002,Placa Vibratoria Unidireccional,"$22,552.65",Motor Kohler 6.5 HP,HYPERMAQ
COMP-003,Regla Vibratoria 3 mts,"$31,200",Motor Honda 6.5 HP,HYPERMAQ
COMP-003,Regla Vibratoria 6 mts,"$63,972.40",Motor Kohler 6.5 HP,HYPERMAQ
COMP-003,Regla Vibratoria 12 mts,"$123,760",Motor Hypermaq 13 HP,HYPERMAQ
COMP-004,Rodillo Hombre a Pie,Consultar disponibilidad,Compactador doble,VARIOS
COMP-005,Rodillo Hombre a Bordo,Consultar disponibilidad,Mayor escala,VARIOS
COMP-006,Rodillo Pata de Cabra,Consultar disponibilidad,Compactación profunda,VARIOS

EQUIPOS PARA CORTE Y DOBLADO
=============================

CÓDIGO,NOMBRE PRODUCTO,PRECIO,DESCRIPCIÓN,MARCA
